Category,Region_Country,Year,Growth_Rate,Note
全体傾向,世界全体,2022,3.2,
全体傾向,世界全体,2023,2.7,
全体傾向,世界全体,2024,2.7,
全体傾向,世界全体,2025,2.7,
全体傾向,世界全体,2026,2.7,
全体傾向,世界全体 (PPP調整後),2023,3.2,PPP調整後 安定見込み
全体傾向,世界全体 (PPP調整後),2024,3.2,PPP調整後 安定見込み
全体傾向,世界全体 (PPP調整後),2025,3.2,PPP調整後 安定見込み
全体傾向,世界全体 (PPP調整後),2026,3.2,PPP調整後 安定見込み
地域・国別の動向,先進国全体,2023,1.7,緩やかな成長
地域・国別の動向,先進国全体,2024,1.7,緩やかな成長
地域・国別の動向,先進国全体,2025,1.7,緩やかな成長
地域・国別の動向,先進国全体,2026,1.7,緩やかな成長
地域・国別の動向,アメリカ,2023,2.9,
地域・国別の動向,アメリカ,2024,2.5,仮の値 徐々に減速
地域・国別の動向,アメリカ,2025,2.2,仮の値 徐々に減速
地域・国別の動向,アメリカ,2026,2.0,
地域・国別の動向,ユーロ圏,2023,0.4,
地域・国別の動向,ユーロ圏,2024,0.8,仮の値 徐々に回復
地域・国別の動向,ユーロ圏,2025,1.0,仮の値 徐々に回復
地域・国別の動向,ユーロ圏,2026,1.2,
地域・国別の動向,日本,2023,1.5,仮の値
地域・国別の動向,日本,2024,0.0,
地域・国別の動向,日本,2025,1.0,
地域・国別の動向,日本,2026,1.0,仮の値
地域・国別の動向,新興国・途上国全体,2023,4.2,
地域・国別の動向,新興国・途上国全体,2024,4.1,仮の値
地域・国別の動向,新興国・途上国全体,2025,4.1,仮の値
地域・国別の動向,新興国・途上国全体,2026,4.1,仮の値
地域・国別の動向,中国,2023,5.2,
地域・国別の動向,中国,2024,4.5,仮の値 徐々に減速
地域・国別の動向,中国,2025,4.2,仮の値 徐々に減速
地域・国別の動向,中国,2026,4.0,
地域・国別の動向,インドネシア,2023,5.0,仮の値 5%超
地域・国別の動向,インドネシア,2024,5.0,仮の値 5%超
地域・国別の動向,インドネシア,2025,5.0,仮の値 5%超
地域・国別の動向,インドネシア,2026,5.0,仮の値 5%超
地域・国別の動向,タイ,2023,1.9,
地域・国別の動向,タイ,2024,2.5,仮の値
地域・国別の動向,タイ,2025,2.9,
地域・国別の動向,タイ,2026,2.9,仮の値
地域・国別の動向,ロシア,2023,3.6,
地域・国別の動向,ロシア,2024,2.0,仮の値
地域・国別の動向,ロシア,2025,1.5,仮の値
地域・国別の動向,ロシア,2026,1.1,
地域・国別の動向,トルコ,2023,4.0,仮の値
地域・国別の動向,トルコ,2024,3.9,仮の値
地域・国別の動向,トルコ,2025,3.8,仮の値
地域・国別の動向,トルコ,2026,3.8,
地域・国別の動向,ポーランド,2023,0.1,
地域・国別の動向,ポーランド,2024,3.0,仮の値
地域・国別の動向,ポーランド,2025,3.2,仮の値
地域・国別の動向,ポーランド,2026,3.2,仮の値
地域・国別の動向,ラテンアメリカ全体,2023,2.3,
地域・国別の動向,ラテンアメリカ全体,2024,2.5,仮の値
地域・国別の動向,ラテンアメリカ全体,2025,2.6,
地域・国別の動向,ラテンアメリカ全体,2026,2.6,仮の値
地域・国別の動向,ブラジル,2023,3.0,仮の値
地域・国別の動向,ブラジル,2024,3.2,
地域・国別の動向,ブラジル,2025,2.5,仮の値
地域・国別の動向,ブラジル,2026,2.3,
地域・国別の動向,メキシコ,2023,2.5,仮の値
地域・国別の動向,メキシコ,2024,2.0,仮の値
地域・国別の動向,メキシコ,2025,1.8,仮の値
地域・国別の動向,メキシコ,2026,1.6,
地域・国別の動向,アルゼンチン,2023,0.0,仮の値
地域・国別の動向,アルゼンチン,2024,-2.8,
地域・国別の動向,アルゼンチン,2025,5.0,
地域・国別の動向,アルゼンチン,2026,2.5,仮の値
地域・国別の動向,中東・北アフリカ全体,2023,1.7,
地域・国別の動向,中東・北アフリカ全体,2024,3.0,仮の値
地域・国別の動向,中東・北アフリカ全体,2025,3.5,仮の値
地域・国別の動向,中東・北アフリカ全体,2026,4.1,
地域・国別の動向,サウジアラビア,2023,-0.8,
地域・国別の動向,サウジアラビア,2024,2.5,仮の値
地域・国別の動向,サウジアラビア,2025,4.0,仮の値
地域・国別の動向,サウジアラビア,2026,5.4,
地域・国別の動向,インド,2023,6.6,仮の値 6.5-6.7%
地域・国別の動向,インド,2024,6.6,仮の値 6.5-6.7%
地域・国別の動向,インド,2025,6.6,仮の値 6.5-6.7%
地域・国別の動向,インド,2026,6.6,仮の値 6.5-6.7%
地域・国別の動向,サブサハラアフリカ全体,2023,2.9,
地域・国別の動向,サブサハラアフリカ全体,2024,3.5,仮の値
地域・国別の動向,サブサハラアフリカ全体,2025,4.0,仮の値
地域・国別の動向,サブサハラアフリカ全体,2026,4.3,
特記事項,高所得国,2023,1.8,仮の値 1.7-1.9%
特記事項,高所得国,2024,1.8,仮の値 1.7-1.9%
特記事項,高所得国,2025,1.8,仮の値 1.7-1.9%
特記事項,高所得国,2026,1.8,仮の値 1.7-1.9%
特記事項,中所得国,2023,4.3,仮の値 4.1-4.6%
特記事項,中所得国,2024,4.3,仮の値 4.1-4.6%
特記事項,中所得国,2025,4.3,仮の値 4.1-4.6%
特記事項,中所得国,2026,4.3,仮の値 4.1-4.6%
特記事項,低所得国,2023,3.0,
特記事項,低所得国,2024,4.5,仮の値
特記事項,低所得国,2025,5.0,仮の値
特記事項,低所得国,2026,5.9,
世界貿易と商品価格,世界貿易量,2023,0.8,
世界貿易と商品価格,世界貿易量,2024,3.2,
世界貿易と商品価格,世界貿易量,2025,3.2,
世界貿易と商品価格,世界貿易量,2026,3.2,
世界貿易と商品価格,世界銀行商品価格指数,2022,100.0,基準
世界貿易と商品価格,世界銀行商品価格指数,2023,108.0,
世界貿易と商品価格,世界銀行商品価格指数,2024,100.0,仮の値
世界貿易と商品価格,世界銀行商品価格指数,2025,98.0,仮の値
世界貿易と商品価格,世界銀行商品価格指数,2026,96.7,
世界貿易と商品価格,エネルギー価格指数,2022,152.6,
世界貿易と商品価格,エネルギー価格指数,2023,120.0,仮の値
世界貿易と商品価格,エネルギー価格指数,2024,100.0,仮の値
世界貿易と商品価格,エネルギー価格指数,2025,95.0,仮の値
世界貿易と商品価格,エネルギー価格指数,2026,91.7,
世界貿易と商品価格,原油価格(ブレント),2022,99.8,ドル
世界貿易と商品価格,原油価格(ブレント),2023,85.0,仮の値 ドル
世界貿易と商品価格,原油価格(ブレント),2024,75.0,仮の値 ドル
世界貿易と商品価格,原油価格(ブレント),2025,72.0,仮の値 ドル
世界貿易と商品価格,原油価格(ブレント),2026,71.0,ドル